rms_m,freqHz,date,time,updatedMs,mgrs
0.00,150000000,26 Jan 2026,14:14:54,1769411694396,47P PR 94272 20762
0.00,150000000,26 Jan 2026,14:15:03,1769411703060,47P PR 93977 20797
0.00,150000000,26 Jan 2026,14:15:08,1769411708668,47P PR 93917 20777
0.00,150000000,26 Jan 2026,14:15:14,1769411714874,47P PR 93836 20626
0.00,150000000,26 Jan 2026,14:15:20,1769411720744,47P PR 94161 21124
0.00,150000000,26 Jan 2026,14:15:26,1769411726224,47P PR 94092 21098
0.00,150000000,26 Jan 2026,14:15:35,1769411735235,47P PR 93562 20191
0.00,150000000,26 Jan 2026,14:36:38,1769412998278,47P PR 87350 18584
0.00,150000000,26 Jan 2026,14:37:10,1769413030034,47P PR 93533 19622
0.00,150000000,26 Jan 2026,14:40:09,1769413209401,47P PR 87185 17998
0.00,150000000,26 Jan 2026,14:52:22,1769413942346,47P PR 87380 18253
0.00,150000000,26 Jan 2026,14:53:49,1769414029405,47P PR 91737 15115
0.00,150000000,26 Jan 2026,14:54:32,1769414072331,47P PR 91452 13448
0.00,150000000,26 Jan 2026,14:54:52,1769414092979,47P PR 91644 14530
0.00,150000000,26 Jan 2026,14:55:17,1769414117185,47P PR 91284 10351
0.00,150000000,26 Jan 2026,15:06:26,1769414786729,47P PR 91803 14235
0.00,150000000,26 Jan 2026,15:06:40,1769414800320,47P PR 91412 12915
0.00,150000000,26 Jan 2026,15:06:51,1769414811926,47P PR 91759 14710
0.00,150000000,26 Jan 2026,15:06:58,1769414818973,47P PR 91210 12550
0.00,150000000,26 Jan 2026,15:07:03,1769414823621,47P PR 91549 13865
0.00,150000000,26 Jan 2026,15:07:11,1769414831475,47P PR 91450 13070
0.00,150000000,26 Jan 2026,15:08:23,1769414903455,47P PR 91599 12193
0.00,150000000,26 Jan 2026,15:08:27,1769414907501,47P PR 91436 11944
0.00,150000000,26 Jan 2026,15:08:43,1769414923147,47P PR 91448 11370
0.00,150000000,26 Jan 2026,15:11:34,1769415094474,47P PR 92166 12105
0.00,150000000,26 Jan 2026,15:11:52,1769415112324,47P PR 92292 14954
