rms_m,freqHz,date,time,updatedMs,mgrs
0.00,150000000,23 Jan 2026,16:10:27,1769159427836,47P PR 92748 18641
0.00,150000000,23 Jan 2026,16:10:30,1769159430104,47P PR 92643 18784
0.00,150000000,23 Jan 2026,16:10:30,1769159430228,47P PR 92749 18644
0.00,150000000,23 Jan 2026,16:10:30,1769159430427,47P PR 92877 18823
0.00,150000000,23 Jan 2026,16:10:30,1769159430698,47P PR 92748 18644
0.00,150000000,23 Jan 2026,16:10:30,1769159430864,47P PR 92709 18655
0.00,150000000,23 Jan 2026,16:10:30,1769159430999,47P PR 92748 18636
0.00,150000000,23 Jan 2026,16:10:31,1769159431151,47P PR 92855 18679
0.00,150000000,23 Jan 2026,16:10:31,1769159431420,47P PR 92750 18646
0.00,150000000,23 Jan 2026,16:10:34,1769159434624,47P PR 92874 18685
0.00,150000000,23 Jan 2026,16:10:35,1769159435343,47P PR 92753 18636
0.00,150000000,23 Jan 2026,16:13:31,1769159611741,47P PR 92740 20393
0.00,150000000,23 Jan 2026,16:13:31,1769159611938,47P PR 89953 19470
0.00,150000000,23 Jan 2026,16:13:32,1769159612285,47P PR 94328 20918
0.00,150000000,23 Jan 2026,16:13:32,1769159612397,47P PR 89952 19469
0.00,150000000,23 Jan 2026,16:13:33,1769159613235,47P PR 85787 20697
0.00,150000000,23 Jan 2026,16:13:33,1769159613572,47P PR 94328 20918
0.00,150000000,23 Jan 2026,16:13:35,1769159615144,47P PR 87353 16746
0.00,150000000,23 Jan 2026,16:13:35,1769159615924,47P PR 85540 16107
0.00,150000000,23 Jan 2026,16:13:36,1769159616197,47P NT 44316 13081
0.00,150000000,23 Jan 2026,16:13:36,1769159616412,47P PR 88438 17126
0.00,150000000,23 Jan 2026,16:13:38,1769159618307,47P PR 90129 14847
0.00,150000000,23 Jan 2026,16:13:38,1769159618429,47P PR 87395 10898
0.00,150000000,23 Jan 2026,16:13:39,1769159619211,47P PR 94531 16341
0.00,150000000,23 Jan 2026,16:13:39,1769159619522,47P PR 89944 19467
0.00,150000000,23 Jan 2026,16:13:40,1769159620268,47P RS 16333 99561
0.00,150000000,23 Jan 2026,16:13:40,1769159620947,47P PR 88306 19947
