rms_m,freqHz,date,time,updatedMs,mgrs
0.00,150000000,23 Jan 2026,16:13:41,1769159621134,47P PR 90129 14847
0.00,150000000,23 Jan 2026,16:13:41,1769159621274,47P PR 91764 17212
0.00,150000000,23 Jan 2026,16:13:41,1769159621431,47P PR 87353 16736
0.00,150000000,23 Jan 2026,16:13:42,1769159622063,47P PR 92802 16886
0.00,150000000,23 Jan 2026,16:13:42,1769159622356,47P QR 73413 47261
0.00,150000000,23 Jan 2026,16:13:43,1769159623532,47P PR 87288 25715
0.00,150000000,23 Jan 2026,16:13:46,1769159626279,47P PR 92802 16886
0.00,150000000,23 Jan 2026,16:13:46,1769159626480,47P PR 92705 20381
0.00,150000000,23 Jan 2026,16:13:48,1769159628600,47P PR 92801 16886
0.00,150000000,23 Jan 2026,16:13:49,1769159629596,47P PR 87353 16735
0.00,150000000,23 Jan 2026,16:13:49,1769159629968,47P PR 89943 19467
0.00,150000000,23 Jan 2026,16:13:50,1769159630062,47P PR 88305 19947
0.00,150000000,23 Jan 2026,16:13:50,1769159630292,47P PR 94537 16340
0.00,150000000,23 Jan 2026,16:13:50,1769159630833,47P PR 88305 19946
0.00,150000000,23 Jan 2026,16:13:53,1769159633343,47P PR 92531 25817
0.00,150000000,23 Jan 2026,16:13:53,1769159633438,47P PR 89955 22238
0.00,150000000,23 Jan 2026,16:13:54,1769159634417,47P PR 88448 17111
0.00,150000000,23 Jan 2026,16:13:54,1769159634769,47P PR 85498 16050
0.00,150000000,23 Jan 2026,16:13:55,1769159635478,47P RS 00793 77554
0.00,150000000,23 Jan 2026,16:13:56,1769159636381,47P PR 85504 16057
0.00,150000000,23 Jan 2026,16:13:56,1769159636562,47P PT 85551 50335
0.00,150000000,23 Jan 2026,16:13:56,1769159636723,47P PR 24198 38582
0.00,150000000,23 Jan 2026,16:13:56,1769159636789,47P PR 85822 20650
0.00,150000000,23 Jan 2026,16:13:57,1769159637088,47P PR 91667 20038
0.00,150000000,23 Jan 2026,16:13:57,1769159637420,47P PR 87288 25673
0.00,150000000,23 Jan 2026,16:13:57,1769159637984,47P QR 61133 43151
0.00,150000000,23 Jan 2026,16:13:58,1769159638439,47P PR 88450 17109
0.00,150000000,23 Jan 2026,16:13:58,1769159638648,47P QR 63286 43871
0.00,150000000,23 Jan 2026,16:13:59,1769159639018,47P PR 85815 20659
0.00,150000000,23 Jan 2026,16:13:59,1769159639152,47P PR 91769 17211
0.00,150000000,23 Jan 2026,16:13:59,1769159639740,47P PR 91663 20036
0.00,150000000,23 Jan 2026,16:14:00,1769159640947,47P PR 88451 17107
0.00,150000000,23 Jan 2026,16:14:02,1769159642317,47P PR 87353 16723
0.00,150000000,23 Jan 2026,16:14:03,1769159643267,47P PR 20458 39771
0.00,150000000,23 Jan 2026,16:14:03,1769159643535,47P PR 92541 25831
0.00,150000000,23 Jan 2026,16:14:03,1769159643676,47P PR 92977 11013
0.00,150000000,23 Jan 2026,16:14:03,1769159643887,47P QR 64995 44443
0.00,150000000,23 Jan 2026,16:14:04,1769159644103,47P PR 85517 16076
0.00,150000000,23 Jan 2026,16:14:04,1769159644889,47P PR 88446 17114
0.00,150000000,23 Jan 2026,16:14:05,1769159645106,47P PR 92973 11018
0.00,150000000,23 Jan 2026,16:14:05,1769159645585,47P PR 88445 17115
0.00,150000000,23 Jan 2026,16:14:06,1769159646203,47P PR 85801 20678
0.00,150000000,23 Jan 2026,16:14:06,1769159646676,47P PR 92801 16886
0.00,150000000,23 Jan 2026,16:14:07,1769159647155,47P PR 92704 20381
0.00,150000000,23 Jan 2026,16:14:08,1769159648382,47P PR 92802 16886
0.00,150000000,23 Jan 2026,16:14:08,1769159648503,47P PR 91767 17212
0.00,150000000,23 Jan 2026,16:14:09,1769159649297,47P PR 92960 11035
0.00,150000000,23 Jan 2026,16:14:09,1769159649708,47P PR 87353 16735
0.00,150000000,23 Jan 2026,16:14:09,1769159649782,47P PR 85528 16091
0.00,150000000,23 Jan 2026,16:14:09,1769159649984,47P PR 94534 16341
0.00,150000000,23 Jan 2026,16:14:10,1769159650312,47P PR 92802 16886
0.00,150000000,23 Jan 2026,16:14:11,1769159651280,47Q PT 85229 88965
0.00,150000000,23 Jan 2026,16:14:11,1769159651592,47P PR 92966 11028
0.00,150000000,23 Jan 2026,16:14:11,1769159651876,47P PR 94536 16340
0.00,150000000,23 Jan 2026,16:14:11,1769159651961,47P PR 90146 17722
0.00,150000000,23 Jan 2026,16:14:12,1769159652957,47P PR 91671 20039
0.00,150000000,23 Jan 2026,16:14:13,1769159653263,47P PR 88305 19946
0.00,150000000,23 Jan 2026,16:14:13,1769159653931,47P PR 92963 11031
0.00,150000000,23 Jan 2026,16:14:14,1769159654303,47P PR 92801 16886
0.00,150000000,23 Jan 2026,16:37:06,1769161026161,47P PR 85837 20633
0.00,150000000,23 Jan 2026,16:37:08,1769161028476,47P PR 89948 22226
0.00,150000000,23 Jan 2026,16:37:09,1769161029107,47P PR 87291 25623
0.00,150000000,23 Jan 2026,16:37:10,1769161030074,47P PR 90165 17716
0.00,150000000,23 Jan 2026,16:37:10,1769161030413,47P PR 88289 19922
0.00,150000000,23 Jan 2026,16:37:11,1769161031763,47P PR 85484 16028
0.00,150000000,23 Jan 2026,16:37:12,1769161032028,47P PR 88291 19925
0.00,150000000,23 Jan 2026,16:37:12,1769161032269,47P PR 29079 37032
0.00,150000000,23 Jan 2026,16:37:12,1769161032391,47P PR 32793 35852
0.00,150000000,23 Jan 2026,16:37:13,1769161033515,47P PR 88288 19921
0.00,150000000,23 Jan 2026,16:37:16,1769161036177,47P PR 93011 10969
0.00,150000000,23 Jan 2026,16:37:17,1769161037487,47P PR 87330 20189
0.00,150000000,23 Jan 2026,16:37:17,1769161037847,47P PR 36441 34695
0.00,150000000,23 Jan 2026,16:37:18,1769161038218,47P PR 90176 17713
0.00,150000000,23 Jan 2026,16:37:19,1769161039161,47P QR 48347 38878
0.00,150000000,23 Jan 2026,16:37:20,1769161040728,47P PR 87291 25577
0.00,150000000,23 Jan 2026,16:37:22,1769161042166,47P PR 90181 17711
0.00,150000000,23 Jan 2026,16:37:22,1769161042624,47P PR 87330 20179
0.00,150000000,23 Jan 2026,16:37:25,1769161045727,47P PR 88467 17089
0.00,150000000,23 Jan 2026,16:37:26,1769161046207,47P PR 87329 20184
0.00,150000000,23 Jan 2026,16:37:27,1769161047486,47P PR 92810 16884
0.00,150000000,23 Jan 2026,16:37:28,1769161048422,47P PR 94568 16330
0.00,150000000,23 Jan 2026,16:37:28,1769161048884,47P PR 85863 20596
0.00,150000000,23 Jan 2026,16:37:29,1769161049219,47P PR 87291 25564
0.00,150000000,23 Jan 2026,16:37:30,1769161050753,47P PR 91776 17209
0.00,150000000,23 Jan 2026,16:37:32,1769161052079,47P PR 88281 19912
0.00,150000000,23 Jan 2026,16:37:32,1769161052505,47P PR 87397 10733
0.00,150000000,23 Jan 2026,16:37:33,1769161053516,47P PR 88471 17083
0.00,150000000,23 Jan 2026,16:37:34,1769161054503,47P PR 40859 33294
0.00,150000000,23 Jan 2026,16:37:34,1769161054733,47P PR 91780 17208
0.00,150000000,23 Jan 2026,16:37:35,1769161055271,47P PR 92471 25732
0.00,150000000,23 Jan 2026,16:37:35,1769161055539,47P PR 91779 17208
