rms_m,freqHz,date,time,updatedMs,mgrs
0.00,121000000,26 Jan 2026,13:45:49,1769409949319,47P PR 93802 15246
0.00,121000000,26 Jan 2026,13:45:59,1769409959334,47P PR 94444 14261
0.00,121000000,26 Jan 2026,13:46:10,1769409970650,47P PR 95149 12412
0.00,121000000,26 Jan 2026,13:46:16,1769409976354,47P PR 94658 12801
0.00,121000000,26 Jan 2026,13:46:22,1769409982016,47P PR 94980 12545
0.00,121000000,26 Jan 2026,13:46:30,1769409990449,47P PR 95065 11548
0.00,121000000,26 Jan 2026,13:46:46,1769410006664,47P PR 94576 13645
0.00,121000000,26 Jan 2026,13:46:52,1769410012189,47P PR 94403 14116
